model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam
opencoder:1.5b,100,1.535,0.7080168633499337,0.6896899999999999,9.8651,28.6807,0.0743624,0.10782003508822804,1.013188403603058,9.32,0.02,1.22,1.64,opencoder,,,,,,,1.5,,1-2B,False,False,,20.6421524856648,,1.0233333333333332
phi3.5:3.8b,100,2.395,1.0132829931674685,0.75467,6.7324,57.3687,0.1490855,0.19755058502391773,1.501826678232644,9.369000000000002,0.24,2.38,2.4,phi3.5,Microsoft,instruct,False,False,False,Q4_0,3.8,4.04,3-4B,False,False,dense,16.06460722203031,0.5928217821782178,0.6302631578947369
phi3.5:3.8b-mini-instruct-q8_0,100,2.565,1.0016526747371473,0.77751,4.283563218390805,84.3845,0.21851859999999998,0.28104924695502304,2.2967037253299076,9.329,0.07,2.4,2.62,phi3.5,Microsoft,instruct,False,False,False,Q8_0,3.8,5.93,3-4B,False,False,dense,11.738131216290055,0.4325463743676223,0.675
phi3:3.8b,100,2.11,0.8892739065147929,0.7363599999999999,6.891,42.031800000000004,0.1096987,0.14897427888532785,1.5199573550919867,9.422,0.09,2.08,2.12,phi3,Microsoft,instruct,False,False,False,Q4_0,3.8,4.04,3-4B,False,False,dense,19.234503234769416,0.5222772277227723,0.5552631578947368
phi3:3.8b-mini-128k-instruct-q8_0,100,2.33,0.9980283593468704,0.73884,4.352680412371134,47.76649999999999,0.12320130000000001,0.16674963456228684,2.362315206391478,9.286999999999999,0.02,2.54,2.26,phi3,Microsoft,instruct,False,False,False,Q8_0,3.8,5.93,3-4B,False,False,dense,18.912138102438853,0.3929173693086004,0.6131578947368421
phi3:mini,100,2.18,0.9252900173251715,0.7363599999999999,6.997999999999999,41.4561,0.10882839999999999,0.1477923841599218,1.5078986990993766,9.469,0.09,2.12,2.2,,,,,,,,,,,False,False,,20.031535885853327,,
phi3:mini-128k,100,2.16,0.8787042802451868,0.7363599999999999,6.9155999999999995,41.9005,0.1089084,0.14790102667173666,1.509007158802248,9.375,0.09,2.12,2.1733333333333333,,,,,,,,,,,False,False,,19.833180911665217,,
phi3:mini-4k,100,2.255,1.0789421493371005,0.7061799999999999,6.1526,60.5732,0.1537809,0.21776445098983263,1.6094753612233625,9.135,0.22,2.14,2.2933333333333334,,,,,,,,,,,False,False,,14.663719616675412,,
phi4-mini,100,2.46,1.016728761143981,0.7478400000000001,6.029399999999999,38.5503,0.0958175,0.12812566859221222,1.6190706406946724,8.912,0.02,2.32,2.506666666666667,phi4-mini,Microsoft,instruct,True,False,False,Q4_K_M,3.8,,3-4B,False,True,dense,25.673806976804862,,0.6473684210526316
phi4-mini-reasoning,100,2.46,1.0652452650669115,0.81635,4.857731958762886,115.73559999999999,0.2828102,0.3464325350646169,1.8527045293250597,8.802,0.92,2.34,2.5,phi4-mini-reasoning,Microsoft,reasoning,False,False,False,Q4_K_M,3.8,,3-4B,True,False,dense,8.698413282123488,,0.6473684210526316
qwen2-math:1.5b,100,1.28,0.5189344171404796,0.6495000000000001,14.4625,30.8686,0.0745381,0.11476227867590454,0.631768046334228,8.684,0.17,1.14,1.3266666666666667,qwen,,,,,,,1.5,,1-2B,False,False,,17.172425913727345,,0.8533333333333334
qwen2.5-coder:0.5b,100,1.57,0.678009564605817,0.68404,25.1723,11.333499999999999,0.025064600000000003,0.03664200923922578,0.3491701880659392,7.8629999999999995,0.07,1.62,1.5533333333333332,,,,,,,,0.5,,,False,False,,62.6381430383888,,3.14
qwen2.5-coder:1.5b,100,1.955,0.9642472334794263,0.71238,13.4719,22.7936,0.052542900000000003,0.07375684325781184,0.6614254143646409,8.264,0.04,2.04,1.9266666666666667,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,1.5,1.25,1-2B,False,False,dense,37.207691238968536,1.564,1.3033333333333335
qwen2.5-coder:1.5b-instruct-q8_0,100,1.92,0.8279218232747252,0.7152,9.2174,30.898600000000002,0.0742927,0.10387681767337809,0.9973290077189843,8.618,0.07,1.94,1.9133333333333333,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,25.843723542151515,1.0052356020942408,1.28
qwen2.5-coder:3b,100,2.425,1.0307764064044151,0.74901,7.659199999999999,38.221599999999995,0.094148,0.1256965861603984,1.2476819436775262,8.807,0.04,2.48,2.4066666666666667,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,25.75731826485958,1.073008849557522,0.782258064516129
qwen2.5-coder:3b-instruct-q4_K_M,100,2.45,1.0624442944398913,0.74901,7.739299999999999,37.7889,0.09297190000000001,0.12412638015513813,1.2320958586416346,8.793000000000001,0.04,2.48,2.44,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,26.352048307069126,1.0840707964601772,0.7903225806451614
qwen2.5-coder:3b-instruct-q8_0,100,2.66,1.0845098506521809,0.7930200000000001,5.234646464646465,60.6628,0.1558029,0.19646780661269575,1.8675182792834788,9.209,0.02,2.66,2.66,qwen2.5-coder,Alibaba/Qwen,code/math,False,False,False,Q8_0,3.1,3.62,2-3B,False,False,dense,17.07285294432902,0.7348066298342542,0.8580645161290322
qwen2.5:0.5b,100,1.26,0.440844002276808,0.59919,24.646900000000002,14.6249,0.032463700000000005,0.05417930873345683,0.348208801358639,7.94,0.14,1.18,1.2866666666666666,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,494.03,0.53,0-1B,False,True,dense,38.81258143711283,2.3773584905660377,0.002550452401676012
qwen2.5:0.5b-instruct-q4_K_M,100,1.265,0.45201568757973637,0.59919,25.011,14.4344,0.0319782,0.05336904821509037,0.34300128117271994,7.926,0.14,1.22,1.28,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,494.03,0.53,0-1B,False,False,dense,39.55819902308448,2.3867924528301883,0.002560573244539805
qwen2.5:0.5b-instruct-q8_0,100,1.325,0.478713553878169,0.66669,23.425900000000002,15.6318,0.034305,0.05145569905053323,0.3595179179645425,7.86,0.19,1.38,1.3066666666666666,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,494.03,0.67,0-1B,False,False,dense,38.62410727299227,1.9776119402985073,0.00268202335890533
qwen2.5:1.5b,100,1.845,0.7510766682677354,0.70851,13.269,23.378400000000003,0.053494799999999995,0.07550323919210737,0.6662328928250191,8.171999999999999,0.05,1.74,1.88,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,1.5,1.25,1-2B,False,True,dense,34.48933354269948,1.476,1.23
qwen2.5:1.5b-instruct-q4_K_M,100,1.855,0.7497305913432902,0.70851,13.399000000000001,23.175300000000004,0.053314700000000007,0.07524904376790731,0.6639898982910123,8.213,0.05,1.7,1.9066666666666667,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,1.5,1.25,1-2B,False,False,dense,34.79340594620245,1.484,1.2366666666666666
qwen2.5:1.5b-instruct-q8_0,100,1.96,0.8277998098891574,0.74318,9.5393,31.925900000000002,0.0777736,0.1046497483785893,0.9743012840588787,8.72,0.06,2.02,1.94,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,25.201353672711562,1.0261780104712042,1.3066666666666666
qwen2.5:3b,100,2.485,1.0309723761595364,0.7728499999999999,7.3687000000000005,45.0056,0.1087773,0.14074826939250826,1.256411319301848,8.68,0.07,2.5,2.48,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,3.1,2.26,2-3B,False,True,dense,22.844839870083188,1.0995575221238938,0.8016129032258064
qwen2.5:3b-instruct-q4_K_M,100,2.52,1.0272056829824856,0.7728499999999999,7.7127,43.116400000000006,0.10583500000000001,0.13694119169308405,1.2224268480492815,8.805,0.07,2.52,2.52,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q4_K_M,3.1,2.26,2-3B,False,False,dense,23.810648651202342,1.1150442477876108,0.8129032258064516
qwen2.5:3b-instruct-q8_0,100,2.67,1.0155856150094589,0.78551,5.130599999999999,68.1516,0.17272310000000002,0.21988657050833219,1.868286641427799,9.091999999999999,0.14,2.38,2.7666666666666666,qwen2.5,Alibaba/Qwen,instruct,False,False,False,Q8_0,3.1,3.62,2-3B,False,False,dense,15.458268176057514,0.7375690607734806,0.8612903225806451
qwen2.5:7b,100,3.08,1.1230370079441376,0.8326699999999999,3.734787234042553,67.8509,0.17359290000000002,0.20847742803271407,2.675004023628114,9.184,0.0,2.84,3.16,qwen2.5,Alibaba/Qwen,instruct,True,False,False,Q4_K_M,7.6,5.22,4-5GB,False,True,dense,17.74266113418233,0.5900383141762453,0.4052631578947369
qwen2:0.5b-instruct-q8_0,100,1.34,0.5406692448468214,0.61819,24.073600000000003,8.915600000000001,0.019274100000000002,0.031178278522784257,0.36210604321052087,7.667000000000001,0.02,1.42,1.3133333333333332,qwen2,Alibaba/Qwen,instruct,False,False,False,Q8_0,494.03,0.67,0-1B,False,False,dense,69.52334998780746,2.0,0.002712385887496711
qwen2:1.5b,100,1.595,0.723679570813023,0.58852,14.750499999999999,11.3568,0.0268809,0.045675423095221906,0.6624990757855822,8.412,0.0,1.52,1.62,qwen2,Alibaba/Qwen,instruct,False,False,False,Q4_0,1.5,1.2,1-2B,False,False,dense,59.33581092894955,1.3291666666666666,1.0633333333333332
qwen2:1.5b-instruct-q8_0,100,1.705,0.7490566457791151,0.6256900000000001,9.5726,18.1641,0.044024400000000005,0.07036136105739264,1.0037228625712478,8.656,0.0,1.76,1.6866666666666668,qwen2,Alibaba/Qwen,instruct,False,False,False,Q8_0,1.5,1.91,1-2B,False,False,dense,38.72852327345744,0.8926701570680629,1.1366666666666667
qwen3.5:2b,100,2.28,1.003327796219494,0.82884,7.7094000000000005,42.4792,0.102946,0.12420491289030451,1.1996038065643813,8.666,0.1,2.32,2.2666666666666666,,,,,,,,2.0,,,False,False,,22.147533658422862,,1.14
qwen3:0.6b,100,1.775,0.7666501974515662,0.6805100000000001,26.2069,6.9326,0.0153814,0.022602753816990197,0.35928523228653,7.892,0.01,1.84,1.7533333333333334,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,751.63,1.09,0-1B,False,True,dense,115.39911841574889,1.628440366972477,0.0023615342655295825
qwen3:0.6b-fp16,100,1.86,0.8441121089791644,0.69435,13.048,12.300899999999999,0.0282127,0.04063181392669403,0.7062493567902093,8.177999999999999,0.01,1.8,1.88,qwen3,Alibaba/Qwen,instruct,True,True,False,F16,751.63,2.07,0-1B,False,True,dense,65.92775593970092,0.8985507246376813,0.0024746218219070556
qwen3:0.6b-q8_0,100,2.01,0.8875684637129564,0.6781900000000001,20.1964,8.2784,0.0188819,0.02784160780902107,0.47208028335301067,8.081,0.0,1.9,2.046666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,751.63,1.4,0-1B,False,False,dense,106.45115163198618,1.4357142857142857,0.0026741880978673016
qwen3:1.7b,100,2.63,1.1317725438042272,0.74383,12.15,15.388800000000002,0.0365625,0.04915437667208906,0.7951730804083852,8.442,0.01,2.8,2.5733333333333333,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,2.0,1.97,1-2B,False,True,dense,71.93162393162393,1.3350253807106598,1.315
qwen3:1.7b-fp16,100,2.82,1.1470647652846704,0.76767,5.231599999999999,34.1582,0.08118539999999999,0.10575559810856228,1.7547276657060518,8.515,0.0,2.78,2.8333333333333335,qwen3,Alibaba/Qwen,instruct,True,True,False,F16,2.0,4.68,1-2B,False,True,dense,34.73530955073203,0.6025641025641025,1.41
qwen3:1.7b-q8_0,100,2.75,1.1601549879044595,0.76166,8.6222,21.6608,0.0533985,0.07010805346217473,1.1284022070908664,8.832,0.0,2.58,2.8066666666666666,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,2.0,2.83,1-2B,False,False,dense,51.49957395806998,0.9717314487632509,1.375
qwen3:4b,100,2.8,0.9265990819042819,0.82785,5.5561,102.5183,0.2570734,0.3105313764570876,1.6789989840348332,9.029,1.0,3.02,2.7266666666666666,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,4.0,3.32,3-4B,False,True,dense,10.891830893433548,0.8433734939759036,0.7
qwen3:4b-instruct-2507-q4_K_M,100,3.36,1.0566767039003258,0.8811599999999999,5.8771,43.6125,0.1089977,0.12369796631712743,1.6711031046377922,8.96,0.01,3.1,3.4466666666666668,qwen3,Alibaba/Qwen,instruct,True,True,False,Q4_K_M,4.0,3.32,3-4B,False,True,dense,30.82633853741868,1.0120481927710843,0.84
qwen3:4b-instruct-2507-q8_0,100,3.59,1.099540767316019,0.87901,3.9312,62.101400000000005,0.16050709999999999,0.18259985665692086,2.538330521876647,9.282,0.0,3.66,3.566666666666667,qwen3,Alibaba/Qwen,instruct,True,True,False,Q8_0,4.0,5.1,4-5GB,False,True,dense,22.366611819664055,0.703921568627451,0.8975
qwen3:4b-q8_0,100,3.4,1.02247471629109,0.8468300000000001,3.9436,53.4169,0.1389434,0.16407472574188442,2.5771355556700497,9.335,0.0,3.02,3.526666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,4.0,5.19,3-4B,False,False,dense,24.470395859033246,0.6551059730250481,0.85
qwen3:4b-thinking-2507-q4_K_M,100,2.865,0.9714484655462282,0.82785,5.5097000000000005,103.36370000000001,0.2587354,0.3125389865313765,1.6898538461538464,9.011000000000001,1.0,3.04,2.8066666666666666,qwen,,,,,,q4_K_M,4.0,,3-4B,True,False,,11.073088568475749,,0.71625
qwen3:4b-thinking-2507-q8_0,100,3.035,0.8968378793395058,0.8096899999999999,3.8274747474747475,147.8314,0.38266599999999995,0.47260803517395544,2.5035394177298,9.317,0.99,3.46,2.8933333333333335,qwen,,,,,,q8_0,4.0,,3-4B,True,False,,7.9311984864085145,,0.75875
qwen3:8b,100,3.51,1.2185021439240364,0.8425100000000001,3.3642424242424243,62.804899999999996,0.1608916,0.19096699148971524,3.023015448851775,9.181000000000001,0.0,3.08,3.6533333333333333,qwen,,,,,,,8.0,,4-5GB,False,False,,21.8159307260292,,0.43875
sailor2:1b,100,1.22,0.42235510933791065,0.65318,14.236868686868688,24.4711,0.056498999999999994,0.08649836186043663,0.6234754620972933,8.266,0.07,1.26,1.2066666666666668,sailor,,,,,,,1.0,,1-2B,False,False,,21.59330253632808,,1.22
smallthinker:3b-preview-q4_K_M,100,2.47,0.8814015468948796,0.78319,7.3197,75.181,0.1830502,0.23372387287886717,1.2363615759849906,8.761000000000001,0.66,2.56,2.44,smallthinker,,,,,,q4_K_M,3.0,,3-4B,False,False,,13.493566245762093,,0.8233333333333334
smollm2:1.7b,100,1.835,0.7489217838892377,0.6600400000000001,8.7685,20.7698,0.0515045,0.07803239197624386,1.1363375620518477,8.92,0.03,1.78,1.8533333333333333,smollm2,Hugging Face,instruct,True,False,False,Q8_0,1.7,2.82,1-2B,False,True,dense,35.62795483889757,0.6507092198581561,1.0794117647058823
smollm2:1.7b-instruct-q8_0,100,1.85,0.7470480627649122,0.6600400000000001,8.6714,20.989099999999997,0.0519418,0.07869492758014665,1.1459856591285165,8.896,0.03,1.84,1.8533333333333333,smollm2,Hugging Face,instruct,False,False,False,Q8_0,1.7,2.82,1-2B,False,False,dense,35.6167864802529,0.6560283687943264,1.0882352941176472
smollm2:135m,100,1.095,0.32329584287491536,0.48001,43.9195,5.652,0.0119867,0.02497177142142872,0.1921629853936587,7.575,0.05,1.14,1.08,smollm2,Hugging Face,instruct,False,False,False,F16,134.52,0.41,0-1B,False,False,dense,91.35124763279302,2.6707317073170733,0.008140053523639607
smollm2:135m-instruct-q8_0,100,1.095,0.33101466292402676,0.46155,64.4798,3.8120999999999996,0.008140000000000001,0.017636225761022643,0.13704985501823966,7.598,0.06,1.1,1.0933333333333333,smollm2,Hugging Face,instruct,False,False,False,Q8_0,134.52,0.29,0-1B,False,False,dense,134.5208845208845,3.7758620689655173,0.008140053523639607
smollm2:360m,100,1.345,0.7095844565730713,0.54255,19.9025,7.891699999999999,0.0173387,0.031957791908579856,0.44044115156646907,7.879,0.02,1.6,1.26,smollm2,Hugging Face,instruct,False,False,False,F16,361.82,0.96,0-1B,False,False,dense,77.5721363193319,1.4010416666666667,0.0037173180034271187
smollm2:360m-instruct-q8_0,100,1.265,0.5705526295008226,0.54199,30.5257,5.5149,0.0123222,0.022735105813760405,0.30684042332434114,7.992999999999999,0.06,1.5,1.1866666666666668,smollm2,Hugging Face,instruct,False,False,False,Q8_0,361.82,0.62,0-1B,False,False,dense,102.66023924299232,2.040322580645161,0.0034962135868663972
smollm:1.7b,100,1.215,0.45089697360714337,0.5412,12.5007,30.710900000000002,0.0749611,0.1385090539541759,0.7611122518050542,8.785,0.25,1.46,1.1333333333333333,smollm,Hugging Face,instruct,False,False,False,Q4_0,1.7,1.27,1-2B,False,False,dense,16.208406760306346,0.9566929133858268,0.7147058823529412
smollm:360m,100,1.065,0.29002786351687254,0.50168,39.4138,11.708,0.025851600000000002,0.05153005900175411,0.21883408577878105,7.933,0.3,1.26,1.0,smollm,Hugging Face,instruct,False,False,False,Q4_0,361.82,0.3,0-1B,False,False,dense,41.19667641461263,3.55,0.0029434525454645954
stablelm2:1.6b,100,1.385,0.5263510753721841,0.65437,14.1323,23.9104,0.057245800000000006,0.08748231123064934,0.6577246991989277,8.603,0.04,1.38,1.3866666666666667,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,24.19391466273508,0.9486301369863014,0.6925
stablelm2:1.6b-chat,100,1.38,0.5510320894796996,0.65437,14.1401,23.9186,0.0572737,0.08752494765958097,0.6580452558005936,8.611,0.04,1.4,1.3733333333333333,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,24.09482886560498,0.9452054794520548,0.69
stablelm2:1.6b-zephyr,100,1.415,0.6437539840025781,0.6220300000000001,14.304300000000001,18.7371,0.0446021,0.07170409787309294,0.6554848138471587,8.565,0.05,1.24,1.4733333333333334,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,31.724963622789062,0.9691780821917809,0.7075
starcoder2:3b,100,1.02,0.09847319278346621,0.48547000000000007,8.045360824742268,54.3548,0.1384306,0.28514758893443465,1.2132392638036809,9.164,0.57,1.02,1.02,starcoder,,,,,,,3.0,,2-3B,False,False,,7.368313075288268,,0.34
starcoder2:3b-q6_K,100,1.105,0.36442150087917474,0.48631,6.001224489795918,73.24380000000001,0.1815079,0.3732349735765253,1.574716086275455,8.938,0.59,1.18,1.08,starcoder,,,,,,q6_K,3.0,,3-4B,False,False,,6.087889287463521,,0.36833333333333335
starcoder2:3b-q8_0,100,1.055,0.2649089799851407,0.49833,5.113645833333334,81.4122,0.2077656,0.4169237252423093,1.8786260109509216,9.192,0.51,1.0,1.0733333333333333,starcoder,,,,,,q8_0,3.0,,3-4B,False,False,,5.077837717119677,,0.3516666666666666
tinyllama:1.1b,100,1.285,0.5330254793311119,0.6598999999999999,20.5737,15.3519,0.037376900000000005,0.05664024852250342,0.47256037086464847,8.738999999999999,0.1,1.26,1.2933333333333332,tinyllama,TinyLlama (community),instruct,False,False,False,Q4_0,1.0,0.71,0-1B,False,False,dense,34.37952318143024,1.8098591549295775,1.285
tinyllama:1.1b-chat-v1-q8_0,100,1.41,0.6251464474889707,0.7196899999999999,13.085799999999999,25.1192,0.060696,0.08433631146743738,0.7099178010981514,8.692,0.14,1.5,1.38,tinyllama,TinyLlama (community),instruct,False,False,False,Q8_0,1.0,1.24,0-1B,False,False,dense,23.230525899565045,1.1370967741935483,1.41
yi-coder:1.5b,100,1.58,0.7061061241667987,0.6818500000000001,15.788599999999999,22.035999999999998,0.053132,0.07792329691281073,0.5884123419571169,8.676,0.04,1.48,1.6133333333333333,yi,,,,,,,1.5,,1-2B,False,False,,29.737258149514417,,1.0533333333333335
