model,n_runs,quality,quality_sd,det_score,decode_tps,wall_s,energy_wh,wh_per_det_correct,j_per_output_token,mean_watts,trunc_rate,safety,quality_nonsafety,family,org,training_regime,tools_capable,thinking_capable,is_moe,quant,params_b,size_gb,bracket,is_reasoning,is_tools,arch_class,quality_per_wh,quality_per_gb,quality_per_bparam,tps_per_gb,resid
qwen3:4b-instruct-2507-q8_0,100,3.59,1.099540767316019,0.87901,3.9312,62.101400000000005,0.16050709999999999,0.18259985665692086,2.538330521876647,9.282,0.0,3.66,3.566666666666667,qwen3,Alibaba/Qwen,instruct,True,True,False,Q8_0,4.0,5.1,4-5GB,False,True,dense,22.366611819664055,0.703921568627451,0.8975,0.7708235294117648,-0.13183783103711044
qwen3:4b-q8_0,100,3.4,1.02247471629109,0.8468300000000001,3.9436,53.4169,0.1389434,0.16407472574188442,2.5771355556700497,9.335,0.0,3.02,3.526666666666667,qwen3,Alibaba/Qwen,instruct,False,False,False,Q8_0,4.0,5.19,3-4B,False,False,dense,24.470395859033246,0.6551059730250481,0.85,0.7598458574181117,-0.11405903052703392
smollm2:1.7b,100,1.835,0.7489217838892377,0.6600400000000001,8.7685,20.7698,0.0515045,0.07803239197624386,1.1363375620518477,8.92,0.03,1.78,1.8533333333333333,smollm2,Hugging Face,instruct,True,False,False,Q8_0,1.7,2.82,1-2B,False,True,dense,35.62795483889757,0.6507092198581561,1.0794117647058823,3.1093971631205672,0.17487293564910766
smollm2:1.7b-instruct-q8_0,100,1.85,0.7470480627649122,0.6600400000000001,8.6714,20.989099999999997,0.0519418,0.07869492758014665,1.1459856591285165,8.896,0.03,1.84,1.8533333333333333,smollm2,Hugging Face,instruct,False,False,False,Q8_0,1.7,2.82,1-2B,False,False,dense,35.6167864802529,0.6560283687943264,1.0882352941176472,3.0749645390070923,0.16373743563369247
smollm2:135m,100,1.095,0.32329584287491536,0.48001,43.9195,5.652,0.0119867,0.02497177142142872,0.1921629853936587,7.575,0.05,1.14,1.08,smollm2,Hugging Face,instruct,False,False,False,F16,134.52,0.41,0-1B,False,False,dense,91.35124763279302,2.6707317073170733,0.008140053523639607,107.12073170731708,0.17340079371855754
smollm2:135m-instruct-q8_0,100,1.095,0.33101466292402676,0.46155,64.4798,3.8120999999999996,0.008140000000000001,0.017636225761022643,0.13704985501823966,7.598,0.06,1.1,1.0933333333333333,smollm2,Hugging Face,instruct,False,False,False,Q8_0,134.52,0.29,0-1B,False,False,dense,134.5208845208845,3.7758620689655173,0.008140053523639607,222.34413793103448,0.2678038772716027
smollm2:360m,100,1.345,0.7095844565730713,0.54255,19.9025,7.891699999999999,0.0173387,0.031957791908579856,0.44044115156646907,7.879,0.02,1.6,1.26,smollm2,Hugging Face,instruct,False,False,False,F16,361.82,0.96,0-1B,False,False,dense,77.5721363193319,1.4010416666666667,0.0037173180034271187,20.731770833333336,0.09339102801440591
smollm2:360m-instruct-q8_0,100,1.265,0.5705526295008226,0.54199,30.5257,5.5149,0.0123222,0.022735105813760405,0.30684042332434114,7.992999999999999,0.06,1.5,1.1866666666666668,smollm2,Hugging Face,instruct,False,False,False,Q8_0,361.82,0.62,0-1B,False,False,dense,102.66023924299232,2.040322580645161,0.0034962135868663972,49.235,0.15547312130529978
smollm:1.7b,100,1.215,0.45089697360714337,0.5412,12.5007,30.710900000000002,0.0749611,0.1385090539541759,0.7611122518050542,8.785,0.25,1.46,1.1333333333333333,smollm,Hugging Face,instruct,False,False,False,Q4_0,1.7,1.27,1-2B,False,False,dense,16.208406760306346,0.9566929133858268,0.7147058823529412,9.843070866141732,-0.1376406692539618
smollm:360m,100,1.065,0.29002786351687254,0.50168,39.4138,11.708,0.025851600000000002,0.05153005900175411,0.21883408577878105,7.933,0.3,1.26,1.0,smollm,Hugging Face,instruct,False,False,False,Q4_0,361.82,0.3,0-1B,False,False,dense,41.19667641461263,3.55,0.0029434525454645954,131.37933333333334,-0.19608027373467296
stablelm2:1.6b,100,1.385,0.5263510753721841,0.65437,14.1323,23.9104,0.057245800000000006,0.08748231123064934,0.6577246991989277,8.603,0.04,1.38,1.3866666666666667,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,24.19391466273508,0.9486301369863014,0.6925,9.679657534246576,0.10163407552717585
stablelm2:1.6b-chat,100,1.38,0.5510320894796996,0.65437,14.1401,23.9186,0.0572737,0.08752494765958097,0.6580452558005936,8.611,0.04,1.4,1.3733333333333333,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,24.09482886560498,0.9452054794520548,0.69,9.685,0.10218585041702566
stablelm2:1.6b-zephyr,100,1.415,0.6437539840025781,0.6220300000000001,14.304300000000001,18.7371,0.0446021,0.07170409787309294,0.6554848138471587,8.565,0.05,1.24,1.4733333333333334,stablelm2,Stability AI,instruct,False,False,False,Q4_0,2.0,1.46,1-2B,False,False,dense,31.724963622789062,0.9691780821917809,0.7075,9.797465753424659,0.11373130920340868
tinyllama:1.1b,100,1.285,0.5330254793311119,0.6598999999999999,20.5737,15.3519,0.037376900000000005,0.05664024852250342,0.47256037086464847,8.738999999999999,0.1,1.26,1.2933333333333332,tinyllama,TinyLlama (community),instruct,False,False,False,Q4_0,1.0,0.71,0-1B,False,False,dense,34.37952318143024,1.8098591549295775,1.285,28.977042253521127,-0.12572569835764602
tinyllama:1.1b-chat-v1-q8_0,100,1.41,0.6251464474889707,0.7196899999999999,13.085799999999999,25.1192,0.060696,0.08433631146743738,0.7099178010981514,8.692,0.14,1.5,1.38,tinyllama,TinyLlama (community),instruct,False,False,False,Q8_0,1.0,1.24,0-1B,False,False,dense,23.230525899565045,1.1370967741935483,1.41,10.553064516129032,-0.11188980440117113
